Question,Answer
Apa yang dimaksud dengan Surat Pemberitahuan?,"Surat Pemberitahuan adalah surat yang oleh Wajib Pajak digunakan untuk melaporkan
penghitungan dan/atau pembayaran pajak, objek pajak dan/atau bukan objek pajak, dan/atau harta
dan kewajiban sesuai dengan ketentuan peraturan perundangundangan perpajakan."
Ada berapa jenis formulir SPT Tahunan bagi Wajib Pajak Orang Pribadi?,"Ada 3 jenis formulir SPT Tahunan untuk pelaporan Wajib Pajak Orang Pribadi, yaitu:
a. Formulir 1770 SS
Formulir ini memiliki struktur dan bentuk yang paling sederhana karena hanya 1 lembar.
Formulir ini digunakan oleh Wajib Pajak yang mempunyai penghasilan selain dari usaha
dan/atau pekerjaan bebas dengan penghasilan bruto tidak lebih dari Rp60.000.000,00 dalam
satu tahun
Formulir 1770 SS:
Di akhir tahun karyawan harus meminta bukti potong 1721-A1 untuk karyawan swasta
dan bukti potong 1721-A2 untuk pegawai negri sehingga memudahkan untuk mengisi
formulir 1770 SS dikarenakan di dalam bukti potong 1721-A1 maupun 1721-A2 sudah
tertera penghasilan bruto karyawan tersebut selama 1 tahun.
Dalam pengisiannya formulir ini merupakan yang paling sederhana dikarenakan hanya
memindahkan data yang sudah ada dalam bukti potong 1721-A1 maupun 1721-A2 ke
dalam formulir 1770 SS. Serta mengisikan daftar harta maupun kewajiban sampai
akhir tahun tanpa memerlukan perinciannya.
b. Formulir 1770 S
Formulir ini memiliki struktur lebih kompleks dibandingkan formulir 1770 SS karena memiliki
lampiran yang harus diisi. Formulir ini diperuntukan bagi:
1. Wajib Pajak Orang Pribadi yang memperoleh penghasilan lebih dari satu pemberi
kerja atau, yang penghasilan brutonya sama dengan atau lebih besar dari 60 juta per
tahun;
2. memperoleh penghasilan dalam negeri lainnya (seperti : bunga, royalty, sewa ataupun
keuntungan dari penjualan dan/atau pengalihan harta lainnya) atau,
3. memiliki penghasilan yang dikenakan PPh final Dan/atau bersifat final seperti bunga
deposito, SBI dan lainnya.
Formulir 1770 S
Formulir ini digunakan untuk karyawan yang penghasilan brutonya sama dengan atau
lebih besar dari 60 juta per tahun. Karyawan yang mengisi formulir 1770 S juga
diwajibkan untuk meminta bukti potong 1721-A1 maupun 1721-A2;
Memperoleh penghasilan yang bukan termasuk objek pajak seperti : Hibah/Warisan,
Bantuan/Sumbangan, Klaim asuransi kesehatan, Beasiswa, dan lain-lain
Bagi Wajib Pajak yang menggunakan formulir 1770 S dalam penyampaian SPT
Tahunannya, diwajibkan untuk mengisi lampiran – lampirannya seperti : Data
penghasilan, Daftar harta dan/atau kewajiban, Bukti potong, Daftar anggota keluarga.
c. Formulir 1770
Formulir 1770 ini diperuntukkan bagi
1. Wajib Pajak Orang Pribadi yang memperoleh penghasilan dari usaha sendiri (misalnya
: usaha pertokoan, salon, warung dan lain-lain) atau,
2. dari pekerjaan bebas (misalnya : dokter, notaris, petugas dinas asuransi dan lain-lain)
atau,
3. WP yang memperoleh penghasilan dari satu atau lebih pemberi kerja
4. memiliki penghasilan yang dikenakan PPh final dan/atau bersifat final
5. Wajib Pajak yang memiliki penghasilan Dalam Negeri lainnya (seperti : bunga, royalty,
sewa ataupun keuntungan dari penjualan dan/atau pengalihan harta lainnya).
6. Wajib Pajak yang dan memperoleh penghasilan di luar negeri."
Apa yang dimaksud dengan e-Filing?,"e-Filing adalah suatu cara penyampaian SPT Tahunan PPh secara elektronik yang dilakukan
secara online dan real time melalui internet pada website Direktorat Jenderal Pajak
(https://djponline.pajak.go.id) atau Penyedia Jasa Aplikasi ( Application Service Provider (ASP)).
Layanan e-Filing melalui website Direktorat Jenderal Pajak melayani penyampaian SPT Tahunan
Orang Pribadi yang menggunakan Formulir 1770 SS, 1770 S, dan 1770.
e-Filing dapat dilaporkan dengan cara webfiling (mengisi secara langsung di website DJP online
untuk 1770SS, 1770 S, dan 1770), upload file csv (untuk 1770 S dan 1770), dan e-Form (1770 S
dan 1770)"
Apa yang dimaksud dengan EFIN?,"Electronic Filing Identication Number (EFIN) adalah nomor identitas yang diterbitkan oleh Direktorat
Jenderal Pajak kepada Wajib Pajak yang melakukan transaksi elektronik dengan DJP. (Dalam hal
ini untuk melakukan registrasi pada DJP Online)"
Bagaimana cara mengajukan permohonan untuk memperoleh EFIN?,"Bagi Wajib Pajak orang pribadi, syarat dan ketentuan pengajuan permohonan aktivasi EFIN adalah
sebagai berikut:
a. permohonan aktivasi EFIN dilakukan oleh Wajib Pajak sendiri tidak diperkenankan untuk
dikuasakan kepada pihak lain;
b. Wajib Pajak mengisi, menandatangani, dan menyampaikan Formulir Permohonan Aktivasi
EFIN dengan mendatangi secara langsung Kantor Pelayanan Pajak (KPP) terdekat, Kantor
Pelayanan Penyuluhan dan Konsultasi Perpajakan (KP2KP) terdekat atau Tempat Tertentu di
Luar Kantor sesuai dengan kewenangannya;
c. Wajib Pajak menunjukan asli dan menyerahkan fotokopi dokumen berupa:
1. identitas diri berupa
a. KTP dalam hal pengurus merupakan warga Negara Indonesia; atau
b. Paspor dan Kartu Izin Tinggal Terbatas (KITAS) atau Kartu Izin Tinggal Tetap
(KITAP) dalam hal Wajib Pajak merupakan warga negara asing; dan
2. kartu Nomor Pokok Wajib Pajak (NPWP) atau Surat Keterangan Terdaftar (SKT);
d. Wajib Pajak menyampaikan alamat email aktif yang digunakan sebagai sarana komunikasi
dalam rangka pelaksanaan hak dan kewajiban perpajakan
Formulir permohonan EFIN disediakan di KPP atau dapat diunduh di situs pajak www.pajak.go.id"
"Apa yang harus dilakukan oleh Wajib Pajak setelah memperoleh EFIN agar dapat
memanfaatkan layanan e-Filing melalui DJP Online?","Untuk menggunakan DJP Online, Anda harus melakukan registrasi terlebih dahulu. Caranya adalah
pertama Anda ajukan kode EFIN ke kantor pajak, kemudian lakukan registrasi di
https://djponline.pajak.go.id."
Apakah e-SPT sama dengan e-Filing?,"e-SPT adalah data SPT Wajib Pajak dalam bentuk elektronik yang dibuat oleh Wajib Pajak dengan
menggunakan aplikasi e-SPT sedangkan e-Filing adalah cara penyampaian e-SPT secara online
dan real time melalui internet."
"Bagaimana secara umum skema Penyampaian SPT Tahunan PPh secara e-Filing melalui
https://djponline.pajak.go.id?",Secara umum skema penyampaian SPT Tahunan PPh seperti gambar berikut ini:
Bagaimana cara mengisi e-Filing?,"Untuk mengisi e-Filing pajak online, silakan log in https://djponline.pajak.go.id menggunakan nomor
NPWP dan password yang Anda gunakan saat registrasi. Kemudian pilih menu/logo ""e-Filing"" pada
halaman utama."
Mengapa DJP Online tidak bisa diakses?,"DJP Online tidak bisa diakses kemungkinan disebabkan jumlah akses menuju DJP Online sangat
padat, server down, jaringan bermasalah (tidak stabil), dan sebagainya, sehingga tidak semua
pengguna dapat mengakses DJP Online dengan lancar."
Mengapa Kode Keamanan tidak muncul?,"DJP Online tidak bisa diakses kemungkinan disebabkan jumlah akses menuju DJP Online sangat
padat, server down, jaringan bermasalah (tidak stabil), dan sebagainya, sehingga tidak semua
pengguna dapat mengakses DJP Online dengan lancar."
Mengapa saya tidak menerima link aktivasi DJP Online ke email?,"DJP Online tidak bisa diakses kemungkinan disebabkan jumlah akses menuju DJP Online sangat
padat, server down, jaringan bermasalah (tidak stabil), dan sebagainya, sehingga tidak semua
pengguna dapat mengakses DJP Online dengan lancar."
